,URODZONY,PLEC,KLM6,woj,q9,q10,q11,q12,q13,q14,q15,q16,q18,q21,q22,q23,q24s1,q24s2,q24s3,q25s1,q25s2,q25s3,q26,q27,q28,q29,q30,q31,q32,q33,q34,q35,q36,q37s1,q37s2,q37s3,q37s4,q37s5,q37s6,q38s1,q38s2,q38s3,q38s4,q38s5,q38s6,q38s7,q38s8,q38s9,q38s10,q38s11,q38s12,q38s13,q38s14,q38s15,q38s16,q38s17,q38s18,q38s19,q38s20,q38s21,q38s22,q38s23,q38s24,q38s25,q40,q41,q42,q43,q44,q45s1,q45s2,q45s3,q46,q47s1,q47s2,q47s3,q47s4,q48s1,q48s2,q48s3,q48s4,q48s5,q48s6,q48s7,q50,q51,q52,q53,q54,q55,q56s1,q56s2,q56s3,q56s4,q57,q58,q59,q61s1,q61s2,q61s3,q61s4,q62s1,q62s2,q62s3,q62s4,q63s1,q63s2,q63s3,q63s4,q64s1,q64s2,q64s3,q64s4,q65s1,q65s2,q65s3,q65s4,q66s1,q66s2,q66s3,q66s4,q67s1,q67s2,q67s3,q67s4,q68s1,q68s2,q68s3,q68s4,q69s1,q69s2,q69s3,q69s4,q70s1,q70s2,q70s3,q70s4,q70s5,q70s6,q70s7,q72,q73i1,q73i2,q73i3,q73i4,q73i5,q73i6,q73i7,q73i8,q73i9,q73i10,q74,q75i1,q75i2,q75i3,q75i4,q75i5,q75i6,q75i7,q75i8,q75i9,q75i10,q75i11,q75i12,q76,q77i1,q77i2,q77i3,q77i4,q77i5,q77i6,q77i7,q77i8,q77i9,q77i10,q78,q80,q81,q82,q83,q84i1,q84i2,q84i3,q84i4,q84i5,q84i6,q84i7,q84i8,q84i9,q84i10,q85,q86,q87,q88s1,q88s2,q88s3,q88s4,q88s5,q88s6,q88s7,q88s8,q88s9,q88s10,q88s11,q88s12,q88s13,q88s14,q88s15,q90,q91,q92,q93,q94,q96i1,q96i2,q96i3,q96i4,q96i5,q96i6,q96i7,q96i8,q96i9,q96i10,q96i11,q96i12,q96i13,q96i14,q96i15,q96i16,q96i17,q96i18,q96i19,q96i20,q96i21,q98,q99,q100,q101,q102,q103s1,q103s2,q119,q120,q140,q141,q142,q143,q144,q145,q146,q147,q148,q149,q150,q151,q152,q153,q154,q155,q156,r7s1,r7s2,r7s3,r7s4,r7s5,waga,error,decade,economical_opinion,politicians_opinion,muslims_opinion
236,1965,1,1,15,7,1,4.0,9,,2,3,5,0.0,1,2,4,3,3,2.0,3,4,2.0,3,2,4.0,3,1,7.0,,3,3,4,4,3,3,3,7,7,4,12,97,3,12,12,97,9,97,5,7,12,8,97,12,2,3,12,12,3,5,12,5,3,12,10,2,1,3,2,2,2,2,2,3,1,3,2,1,6,6,5,3,4,97,97,2,9,4,3,2,2,2,3,2,3,2,4,,4,4,3,4,7,7,7,7,1,1,1,1,1,1,1,3,1,1,1,3,1,2,2,2,1,1,1,4,2,2,2,4,7,7,7,7,5,5,5,5,5,4,5,3,1.0,,,,5.0,,,,,,1.0,,,,,5.0,6.0,,,9.0,,,,5.0,1.0,,,,,6.0,7.0,,,,7.0,2,1,2,2,,,,,,,7.0,8.0,,,,,4,6,10,5,2,6,6,6,8,9,9,9,9,8,7,9,3,1,2,10.0,997.0,,,,,,6.0,,8.0,,,,,,,,16.0,,,,,,2,,1.0,1,1,2,2,1,1.0,3,5,4,,2.0,4,,1.0,3,2,2,6,1,1.0,1,1.0,1,2012,7,7,15,59,1.3382385589193284,-1.0,60,2.6666666666666665,5.08,3.111111111111111
237,1959,2,1,15,4,1,2.0,6,,2,3,6,2.0,1,2,4,4,3,5.0,3,4,4.0,2,2,1.0,4,2,,,5,7,7,3,3,7,2,7,7,2,12,4,12,12,12,12,10,12,10,4,12,9,97,12,8,10,10,12,12,12,12,10,2,12,10,2,2,3,2,2,2,1,2,3,1,3,2,1,7,7,4,2,7,7,7,2,8,3,2,3,1,1,4,2,2,2,2,2.0,2,7,4,4,7,7,7,7,1,1,1,2,4,4,4,4,2,2,2,4,2,2,2,3,2,2,2,4,1,1,1,2,1,1,1,3,5,5,5,5,5,4,5,2,1.0,,,,,6.0,,,,,1.0,,,,,5.0,,,,9.0,,,,9.0,1.0,,,,5.0,,,,,,1.0,3,1,1,2,,,3.0,,,,7.0,,,,,,4,3,1,9,1,10,10,10,10,2,2,3,10,7,6,3,4,2,3,10.0,,,,,,,,,,,10.0,,12.0,,,,16.0,,,,,,1,2.0,,2,1,2,1,1,97.0,5,3,1,1100.0,,4,,1.0,3,2,2,97,1,2.0,2,,2,2012,7,7,13,20,0.9549054575494065,-1.0,50,2.6666666666666665,6.44,2.111111111111111
238,1986,2,1,15,10,1,1.0,2,,2,3,5,1.0,1,1,3,2,3,2.0,3,4,3.0,2,3,2.0,2,2,,,2,2,2,2,3,2,2,2,2,3,1,12,12,12,12,8,1,4,9,10,4,3,6,12,2,8,9,12,4,2,9,3,9,12,3,3,2,3,1,2,1,1,2,3,2,3,3,1,4,4,2,2,6,5,4,3,4,2,2,3,1,2,2,3,3,2,3,,2,2,3,4,2,2,3,4,1,1,1,2,2,2,2,3,2,2,3,4,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,3,5,3,5,2,,,,4.0,5.0,,7.0,8.0,,,5.0,,2.0,,,5.0,,,,9.0,,,,5.0,,,3.0,,5.0,,7.0,,,,3.0,2,1,2,2,1.0,,,,,,,8.0,,,,,2,1,8,4,2,3,8,4,5,5,4,5,9,7,7,5,3,1,2,13.0,,,,3.0,,,,7.0,8.0,,10.0,,,,,,,,,,,,2,,2.0,1,2,1,1,1,7.0,3,3,1,3000.0,,1,1000.0,,3,2,1,6,2,,1,4.0,1,2012,7,7,11,10,0.6805922334262707,2.0,80,2.6666666666666665,6.36,1.8333333333333333
239,1973,2,3,7,11,1,1.0,3,,2,3,4,1.0,1,7,3,3,3,2.0,3,3,3.0,2,3,4.0,3,1,2.0,,2,2,2,2,2,7,2,7,7,2,7,8,7,12,12,7,3,6,10,7,1,4,8,12,4,7,97,12,12,7,12,8,8,7,3,3,1,3,2,2,1,1,1,3,1,4,3,1,6,7,2,5,6,6,6,1,6,4,7,2,2,7,2,7,7,2,3,,2,2,2,2,3,3,7,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,4,5,3,1.0,,,4.0,5.0,6.0,,,,,5.0,,,,4.0,,,7.0,,9.0,,,,4.0,,2.0,3.0,,,,7.0,,,,3.0,2,2,2,2,,,3.0,,,,,8.0,,,,,2,6,2,5,2,3,10,3,6,6,9,9,10,6,8,6,2,1,2,10.0,997.0,,,,,,,,8.0,,,,12.0,,,,,,,,,,1,1.0,,2,2,2,1,1,7.0,4,3,5,,8.0,5,,8.0,2,4,2,5,1,2.0,2,,1,2012,7,7,18,12,0.8060727704023027,-1.0,70,3.0,7.6,3.0
240,1977,1,3,7,11,1,3.0,10,,2,3,4,2.0,1,1,2,2,2,2.0,2,2,3.0,2,3,4.0,2,1,2.0,,2,2,2,2,2,2,1,3,3,7,7,8,8,8,2,7,1,4,9,7,1,1,7,7,3,7,7,5,6,8,6,8,9,7,1,2,1,1,1,2,1,1,1,2,1,4,3,1,7,7,2,6,6,6,6,1,7,4,1,3,2,2,2,3,2,2,3,,2,2,2,2,3,7,7,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,4,5,5,4,5,3,1.0,,,4.0,5.0,,,8.0,,,5.0,,,,4.0,,,,,9.0,,,,9.0,1.0,2.0,3.0,,,,,,,,3.0,2,2,2,2,,,3.0,,,,7.0,,,,,,3,6,2,5,2,5,10,3,3,5,6,5,10,7,7,9,2,1,1,12.0,,,,,,,,,8.0,,10.0,,12.0,,,,16.0,,,,,,1,1.0,,2,2,2,2,1,7.0,5,3,5,,8.0,5,,8.0,2,4,2,6,1,2.0,2,,1,2012,7,7,17,6,0.9875181659896269,1.0,70,4.0,7.88,3.0
241,1958,1,3,7,6,4,,12,5.0,1,3,1,,1,7,4,3,3,,4,4,,3,4,,3,2,,,2,3,2,2,3,2,2,4,4,3,6,7,9,6,1,6,3,7,11,5,1,5,8,8,6,9,6,6,8,10,8,8,10,9,1,2,1,2,2,2,1,1,2,3,1,4,3,1,7,7,2,6,6,6,6,1,9,4,2,3,2,3,2,3,7,1,3,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,4,5,5,5,5,3,1.0,,,,5.0,,,8.0,,,5.0,,,,,5.0,6.0,,,,,,,5.0,,2.0,3.0,,,,,,,,3.0,4,1,2,1,,2.0,,,,,7.0,,,,,,3,4,10,5,10,6,10,2,8,6,9,9,10,10,10,2,2,1,1,10.0,,,,,,,,7.0,8.0,,10.0,,12.0,,,,,,,,,,2,,2.0,1,2,2,2,1,7.0,3,2,5,,8.0,5,,8.0,1,2,2,5,1,2.0,2,,2,2012,7,7,14,40,1.1648221601600912,-1.0,50,2.6666666666666665,8.36,3.0
242,1946,1,3,7,8,4,,13,10.0,1,2,3,0.0,1,7,3,3,3,,3,3,,2,3,,2,2,,,5,7,7,2,3,7,2,7,7,7,12,12,6,12,12,6,4,5,9,6,5,5,7,12,4,5,6,12,12,7,12,7,7,12,5,3,2,3,2,2,2,2,2,3,2,4,3,2,6,7,2,6,5,6,6,1,8,4,1,3,2,7,2,7,2,1,3,,2,2,2,3,2,2,7,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,5,5,5,5,5,3,5,3,1.0,,,4.0,5.0,,,8.0,,,5.0,,,,4.0,,6.0,,,9.0,,,,9.0,,2.0,3.0,,,,7.0,,,,3.0,3,2,2,2,,,3.0,,,,,8.0,,,,,2,9,9,5,3,6,10,3,9,6,10,10,10,8,9,6,3,1,2,10.0,997.0,,,,,,,,,,,,,,,,,,,,97.0,,2,,2.0,1,2,1,1,2,,4,3,5,,8.0,5,,8.0,5,2,2,5,1,2.0,2,,2,2012,7,7,15,54,0.7064696915492525,-1.0,40,3.0,6.84,3.0
243,1963,1,3,7,8,1,2.0,6,,2,3,2,0.0,1,2,4,4,4,3.0,4,4,7.0,3,4,7.0,3,3,,,3,3,3,3,3,3,3,2,7,3,12,12,12,12,12,12,6,6,5,5,7,2,12,12,4,5,12,12,12,6,12,5,5,12,5,2,1,3,2,2,2,1,2,3,1,4,4,1,7,7,1,5,6,6,5,2,7,2,2,2,1,7,7,7,7,2,4,,3,3,3,3,3,3,3,3,1,1,2,2,2,2,2,7,1,1,1,3,1,2,2,2,1,1,1,3,1,1,1,3,1,1,1,3,5,5,5,5,5,3,5,3,1.0,,,,5.0,,,8.0,,,5.0,,,,4.0,,,,,9.0,,,,4.0,,2.0,3.0,,,,7.0,,,,3.0,3,2,3,2,,,,,,,7.0,8.0,,,,,3,4,1,4,3,4,10,3,9,9,10,10,10,9,9,9,2,1,2,10.0,997.0,,,,,,,,8.0,,,,12.0,,,,16.0,,,,,,1,1.0,,2,2,2,2,2,,2,2,5,,8.0,5,,8.0,4,4,2,4,2,,2,,2,2012,7,7,19,2,0.9045385529588038,-1.0,60,2.0,5.52,3.111111111111111
244,1925,2,3,7,2,4,,13,4.0,1,3,1,,1,2,4,4,4,,4,4,,2,4,,3,3,,,3,3,3,3,7,7,7,7,7,3,12,12,12,12,12,12,6,12,6,12,12,12,12,12,1,6,12,12,12,12,12,6,5,12,12,2,2,2,2,2,2,2,2,3,2,3,3,2,7,7,2,5,5,6,6,2,7,7,7,2,7,7,7,7,7,7,3,,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,7,5,5,5,5,5,4,5,3,1.0,,,4.0,,6.0,,,,,4.0,,,,,5.0,,7.0,,,,,,5.0,,2.0,3.0,,,,,,,,2.0,5,1,2,1,,2.0,,,,,7.0,,,,,,3,7,10,10,9,6,9,4,10,10,9,9,9,6,9,2,3,2,2,10.0,997.0,,,,,,,,,,,,,,,,,,,,97.0,,2,,2.0,1,2,2,2,2,,4,2,5,,8.0,5,,8.0,3,4,2,3,2,,2,,2,2012,7,7,12,42,1.782621331557483,-1.0,20,2.0,5.86,3.0
245,1970,1,1,11,4,1,3.0,5,,2,3,4,0.0,1,1,2,2,2,2.0,3,3,3.0,2,7,2.0,1,1,2.0,,1,1,1,1,2,2,1,2,2,3,7,9,8,12,8,9,6,8,11,9,6,6,10,10,6,4,11,6,8,11,8,11,11,9,6,2,2,2,2,2,2,1,1,1,1,3,1,1,7,7,4,5,4,4,7,1,9,1,1,1,1,1,1,1,1,2,3,,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,7,7,7,7,3,5,4,5,5,3,5,1,1.0,,,,5.0,,7.0,,,,5.0,,,,4.0,5.0,6.0,,,,,,,5.0,1.0,,3.0,,5.0,,,,,,5.0,2,1,2,7,1.0,2.0,,,,,,,,,,,2,1,10,4,2,3,9,4,5,4,4,5,9,6,7,10,2,1,2,10.0,,,,,,,6.0,,8.0,,10.0,,,,,,,17.0,,,,,2,,2.0,1,1,2,1,1,7.0,4,3,5,,5.0,5,,2.0,2,2,2,5,1,2.0,2,,1,2012,7,7,12,46,0.9835618023089737,-1.0,70,3.6666666666666665,10.0,4.0
246,1972,2,1,6,4,4,,14,6.0,2,3,6,1.0,1,2,4,4,3,,3,3,,3,2,,2,3,,,4,4,4,4,7,7,2,7,7,7,97,12,97,12,12,12,97,97,10,97,97,97,10,97,97,8,97,12,12,12,12,97,2,12,5,1,1,1,2,2,2,1,1,3,1,2,2,1,7,7,6,7,7,7,7,2,6,2,3,2,1,2,7,4,7,2,4,,7,7,7,7,2,7,7,7,1,1,1,7,1,1,1,7,1,1,1,7,1,1,1,7,1,1,1,7,1,1,1,4,1,1,1,7,5,5,5,5,5,3,5,7,,,,,,,,,97.0,,,,,,,,,,,,,97.0,,,,,,,,,,,97.0,,,1,2,1,2,,,,4.0,,,7.0,,,,,,1,4,1,6,1,9,2,9,9,2,9,3,10,8,9,10,2,1,2,12.0,,,,,,,,,8.0,,10.0,,12.0,,,,16.0,,,,,,1,1.0,,2,2,2,1,2,,2,4,3,,,1,120.0,,3,4,2,97,2,,1,1.0,1,2012,7,7,13,25,0.8374601186110407,1.0,70,3.0,6.24,3.5555555555555554
247,1937,2,3,6,8,4,,13,3.0,1,3,2,0.0,1,2,3,5,5,,3,3,,3,4,,4,1,8.0,,3,3,3,3,4,7,2,3,3,4,1,1,12,12,12,1,2,9,11,2,1,1,11,12,11,9,1,12,12,97,9,1,2,3,1,2,2,2,2,2,2,2,2,3,2,4,4,1,6,6,2,4,5,4,6,2,99,3,3,2,1,7,7,7,7,2,4,,2,2,2,2,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,4,5,3,,2.0,,4.0,,,,,,,4.0,,,,4.0,5.0,,7.0,,,,,,7.0,,2.0,3.0,,,,7.0,,,,2.0,3,1,2,1,,,,4.0,5.0,,,,,,,,3,9,10,10,2,4,10,10,10,2,10,10,10,6,6,6,2,1,7,5.0,,,,,,,,,8.0,,10.0,,12.0,,14.0,,,,,,,,2,,1.0,1,1,7,7,1,7.0,3,3,1,840.0,,1,1100.0,,4,4,3,3,1,2.0,2,,2,2012,7,7,16,34,1.335420208245148,-6.0,30,1.6666666666666667,4.58,4.0
248,1947,2,3,6,8,4,,13,3.0,1,3,2,0.0,1,2,7,7,7,,7,7,,3,3,,7,1,2.0,,2,2,2,1,2,2,1,7,7,4,9,9,97,97,97,9,1,6,10,9,1,97,1,9,1,10,9,97,10,97,1,9,10,10,1,1,1,1,2,2,2,2,2,3,1,3,3,2,6,7,4,5,5,5,5,1,5,1,1,1,1,1,1,1,1,2,1,2.0,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,3,3,5,3,,2.0,3.0,4.0,,,,,,,2.0,,,,4.0,,,,,9.0,,,,9.0,1.0,,3.0,,5.0,,,,,,1.0,3,1,1,2,,,3.0,4.0,,,,,,,,,2,6,10,10,2,3,10,10,10,2,3,10,10,6,6,10,2,1,1,10.0,,,,,,,,,,,,,12.0,,,,,,,,,,2,,1.0,1,1,1,1,1,7.0,3,3,5,,8.0,5,,8.0,3,5,2,97,1,2.0,2,,1,2012,7,7,17,49,1.335420208245148,-1.0,40,3.0,8.24,4.0
249,1936,2,1,6,8,4,,13,5.0,1,3,1,,1,7,7,3,3,,3,3,,3,3,,4,1,2.0,,2,2,2,2,3,3,1,4,4,2,7,6,8,12,12,7,1,9,11,7,1,9,8,7,6,8,8,3,7,10,8,9,11,8,2,1,1,1,2,2,1,2,2,3,1,3,2,2,5,7,5,3,5,5,6,2,9,1,1,1,1,1,1,2,1,2,3,,3,3,3,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,3,3,2,2,2,3,5,5,5,5,5,3,5,3,1.0,,,,,,7.0,8.0,,,7.0,1.0,,,,5.0,,,,9.0,,,,97.0,1.0,,3.0,,,6.0,,,,,97.0,3,1,2,2,,,3.0,,,,,8.0,,,,,3,4,10,6,9,2,9,6,10,10,2,10,10,6,7,9,2,1,2,10.0,997.0,,,,,,,,8.0,,10.0,,12.0,,,,,17.0,,,,,2,,2.0,1,1,2,2,1,7.0,3,3,1,1187.0,,1,1187.0,,2,2,2,5,1,2.0,2,,2,2012,7,7,9,23,0.9144122382835326,-1.0,30,3.0,8.84,3.0
250,1957,1,1,6,2,4,,12,9.0,1,3,1,,1,2,4,4,4,,3,3,,5,4,,4,1,7.0,,3,3,3,3,3,7,3,3,3,3,2,2,2,12,10,2,10,3,9,2,11,3,2,3,2,9,2,12,4,2,1,2,1,3,11,2,2,3,2,2,2,2,2,3,2,3,3,2,6,6,4,3,6,4,5,3,1,4,3,3,1,4,4,4,1,2,3,,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,3,5,4,1.0,,3.0,,5.0,,7.0,8.0,,,5.0,,,,,,,,,,,97.0,,,1.0,2.0,3.0,,,,,,,,97.0,3,1,2,2,,,,,,,7.0,8.0,,,,,4,6,1,2,2,6,2,9,10,10,2,9,10,7,9,10,2,1,2,10.0,,,,,4.0,,,7.0,,,,,,,,,16.0,,18.0,,,,1,1.0,,7,2,2,2,1,1.0,1,2,1,730.0,,1,730.0,,3,5,2,7,1,1.0,2,,2,2012,7,7,10,55,0.9337852384024936,-1.0,50,2.3333333333333335,3.02,4.0
251,1984,2,1,6,4,1,3.0,8,,2,3,3,1.0,1,2,3,3,3,2.0,3,3,3.0,2,3,4.0,3,3,,,5,7,7,7,3,7,7,7,7,7,12,12,12,12,12,12,9,12,9,12,12,97,8,12,5,97,12,12,12,12,12,7,7,12,97,2,1,3,2,2,2,2,2,3,2,3,3,1,6,6,6,5,6,4,4,2,10,1,1,1,2,7,7,7,1,2,2,2.0,7,7,7,7,7,7,7,7,1,1,1,1,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,1,1,2,2,7,7,7,7,5,5,5,5,5,5,5,7,,,,,,,,,97.0,,,,,,,,,,,,,97.0,,,,,,,,,,,97.0,,,1,2,3,2,,,,,,,7.0,8.0,,,,,7,4,10,10,2,10,10,5,5,2,10,10,10,8,7,9,2,2,2,10.0,997.0,,,,,,,,,,,,,,,,,,,,97.0,,2,,1.0,2,1,2,2,2,,5,3,5,,8.0,5,,8.0,4,2,2,97,2,,1,4.0,1,2012,7,7,8,37,1.2648094281145303,-1.0,80,3.0,6.78,3.0
252,1977,2,2,6,11,2,3.0,5,,2,3,3,1.0,1,1,4,3,2,2.0,3,4,4.0,2,2,2.0,3,1,2.0,,2,2,2,2,3,4,2,4,4,3,5,7,9,12,5,8,3,7,10,7,1,4,6,7,8,6,9,4,6,9,7,8,9,9,2,1,1,1,2,1,1,2,1,1,1,3,3,1,6,7,3,4,6,6,5,1,7,2,2,2,1,2,1,2,1,2,4,,1,1,1,7,2,2,2,3,1,1,1,1,2,2,1,1,1,2,2,3,1,1,1,1,2,2,2,3,2,2,2,2,3,3,3,3,5,5,5,5,5,5,5,4,1.0,,,4.0,5.0,,,,,,1.0,,,,,5.0,,7.0,,9.0,,,,5.0,1.0,2.0,3.0,,,,,,,,3.0,2,2,2,2,,2.0,,4.0,,,,,,,,,3,3,10,5,2,3,10,10,5,4,10,10,10,7,6,4,1,1,1,12.0,,,,,,,,,8.0,,,,12.0,,,,,17.0,18.0,,,,2,,2.0,1,1,2,2,1,7.0,5,3,5,,4.0,5,,2.0,2,2,2,6,1,2.0,2,,1,2012,7,7,15,16,0.9827255286039922,1.0,70,3.3333333333333335,8.14,2.6666666666666665
253,1965,1,2,6,11,1,1.0,2,,2,3,4,0.0,1,1,3,3,2,2.0,3,3,3.0,2,3,2.0,3,1,97.0,,2,2,7,3,2,2,2,7,7,3,5,7,6,12,3,5,2,9,8,6,2,6,5,12,3,6,8,7,6,6,6,9,7,12,5,1,1,1,2,2,1,2,2,3,1,3,2,1,7,7,3,4,7,6,6,1,9,1,1,1,1,3,2,3,1,2,3,,2,2,2,2,2,2,2,3,1,1,1,2,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,7,5,5,5,5,5,5,5,2,1.0,2.0,3.0,,5.0,,,8.0,,,5.0,1.0,,,4.0,,,,,9.0,,,,9.0,1.0,,3.0,,,,7.0,,,,3.0,2,1,2,2,1.0,,,,,,,8.0,,,,,2,4,10,5,1,6,10,5,7,10,4,4,9,7,6,5,1,1,2,8.0,,,,,,5.0,,,8.0,,10.0,,12.0,,,,,,,,,,2,,1.0,2,4,2,2,1,7.0,5,3,5,,5.0,5,,5.0,3,2,2,2,1,2.0,2,,1,2012,7,7,13,23,1.203935112699384,-3.0,60,3.6666666666666665,6.8,3.111111111111111
254,1951,1,2,6,4,4,,13,6.0,1,3,2,0.0,1,1,3,3,2,,3,3,,3,3,,3,1,2.0,,1,2,2,2,2,2,2,2,3,3,8,9,8,97,6,8,3,6,10,8,4,5,9,8,6,8,10,6,8,9,9,10,10,8,6,1,1,1,2,2,2,2,2,3,1,2,2,1,7,7,4,6,7,6,7,1,11,1,3,1,1,1,1,3,1,1,1,2.0,1,1,1,3,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,3,5,1,1.0,2.0,,4.0,5.0,,,,,,5.0,,,,,5.0,,7.0,,9.0,,,,9.0,1.0,,3.0,,,6.0,,,,,3.0,2,1,2,2,,,,,,,7.0,8.0,,,,,2,7,1,5,1,5,10,9,9,2,10,9,10,7,10,10,2,1,1,10.0,,,,,,,6.0,,,,,,12.0,,,,,17.0,,19.0,,,1,1.0,,2,1,2,2,1,7.0,3,3,5,,8.0,5,,8.0,3,2,2,4,1,2.0,2,,2,2012,7,6,11,57,2.012635803546159,-1.0,50,3.6666666666666665,9.1,4.0
255,1957,2,2,6,11,1,1.0,2,,2,3,2,0.0,1,1,3,3,3,2.0,3,3,3.0,2,3,3.0,3,1,2.0,,2,2,2,2,2,2,2,7,7,3,6,6,6,12,4,8,1,8,8,8,1,3,10,97,4,7,8,12,6,8,97,10,10,8,4,3,1,3,2,2,2,2,2,3,2,3,3,2,7,7,4,4,6,4,4,1,6,2,3,7,2,3,3,4,1,2,4,,1,1,1,3,2,2,3,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,5,5,5,1,1.0,2.0,3.0,4.0,5.0,,,8.0,,,4.0,,,,,5.0,6.0,,,9.0,,,,5.0,,2.0,3.0,,5.0,,,,,,3.0,3,1,2,2,,,,,,,7.0,8.0,,,,,2,4,9,5,2,5,9,6,9,6,9,10,5,7,6,10,2,1,2,10.0,997.0,,,,,,6.0,,,,,,12.0,,14.0,,16.0,,,,,,2,,1.0,1,1,7,7,1,7.0,5,3,5,,8.0,5,,8.0,3,2,2,4,1,2.0,2,,1,2012,7,6,13,21,0.9107364941110602,-1.0,50,3.0,8.12,3.111111111111111
256,1955,2,2,15,8,4,,12,4.0,1,3,2,0.0,1,2,4,3,3,,3,3,,4,3,,2,3,,,3,2,2,1,2,2,2,3,2,2,12,12,12,12,12,12,1,12,97,12,12,97,12,12,11,11,12,12,12,12,12,12,11,12,3,2,3,2,2,2,2,2,2,3,3,3,2,2,5,7,5,4,6,6,7,1,8,2,7,7,1,7,7,2,3,2,2,2.0,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,3,1,5,3,1.0,,,,,,,,,,1.0,,,,,,,,,,,97.0,,,,,,,,,,,97.0,,,3,1,1,2,1.0,,,,,,,8.0,,,,,2,2,10,6,2,3,10,10,9,2,2,6,10,6,6,2,2,1,3,12.0,,,,,,,,,,,,,,,,,,,,,97.0,,2,,2.0,1,2,2,2,2,,2,3,1,580.0,,4,,1.0,3,1,1,4,2,,2,,2,2012,7,7,12,3,0.8362799271286352,1.0,50,3.0,6.7,4.0
257,1979,1,2,15,7,1,3.0,10,,2,3,3,1.0,1,2,4,3,2,1.0,3,4,2.0,2,3,1.0,2,2,,,2,2,3,1,7,7,2,2,7,4,6,97,5,12,12,7,1,11,11,6,1,7,7,7,8,6,5,12,12,7,12,9,10,6,4,1,1,1,2,2,1,1,2,3,1,2,2,1,7,7,2,3,7,7,7,2,6,2,1,1,1,3,2,2,2,1,3,,3,3,3,4,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,3,5,2,,,,,5.0,,,,,,5.0,,,,,5.0,,,,9.0,,,,9.0,1.0,,,,5.0,,7.0,,,,1.0,1,2,2,2,,,,,,,7.0,8.0,,,,,2,1,1,6,1,9,9,3,9,2,9,9,10,9,6,2,1,1,2,7.0,,,,3.0,,,,,8.0,,,,,,,,,,,,,,1,1.0,,2,1,2,2,1,7.0,5,4,1,10000.0,,1,3333.0,,3,5,4,4,1,2.0,2,,1,2012,7,7,10,57,0.7493734514774224,-4.0,70,3.3333333333333335,7.64,4.0
258,1986,2,1,13,11,1,2.0,4,,2,2,4,0.0,1,2,4,4,3,2.0,3,3,3.0,2,3,2.0,3,1,97.0,,5,3,3,3,4,3,3,3,7,3,6,12,6,12,12,12,4,6,4,4,6,6,4,12,4,6,12,6,12,6,12,6,4,12,6,2,2,2,2,2,2,2,2,3,2,3,3,2,6,6,3,1,2,5,5,2,5,1,2,2,2,2,2,2,2,2,3,,7,7,7,7,7,7,7,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,5,5,5,5,5,3,5,3,1.0,2.0,,,5.0,,,,,,5.0,1.0,,,4.0,,,,,9.0,,,,4.0,,,3.0,,,,7.0,,,,3.0,2,2,2,2,,,3.0,,,,7.0,,,,,,3,4,10,6,2,3,10,10,7,2,10,4,10,7,7,6,2,2,2,8.0,,,,3.0,,,,,8.0,,10.0,,,,14.0,,,,,,,,2,,2.0,1,2,2,1,1,97.0,4,3,1,1300.0,,4,,7.0,4,3,2,3,1,2.0,2,,1,2012,7,7,18,9,0.6885451286473177,-3.0,80,3.0,5.12,3.0
